ticker,year,date,close,moving_average_50,moving_average_200,trend
TSLA,2021,2021-01-26,297.1266784667969,220.00,129.85,Bullish
TSLA,2021,2021-01-27,290.1166687011719,223.03,131.10,Bullish
TSLA,2021,2021-01-28,273.3333435058594,225.76,132.24,Bullish
TSLA,2021,2021-01-29,276.6666564941406,228.57,133.37,Bullish
TSLA,2021,2021-02-01,271.42999267578125,230.93,134.49,Bullish
TSLA,2021,2021-02-02,281.5599975585937,233.57,135.64,Bullish
TSLA,2021,2021-02-03,292.3399963378906,236.14,136.86,Bullish
TSLA,2021,2021-02-04,285.0,238.52,138.04,Bullish
TSLA,2021,2021-02-05,281.6666564941406,240.80,139.21,Bullish
TSLA,2021,2021-02-08,289.8900146484375,242.99,140.42,Bullish
TSLA,2021,2021-02-09,285.0400085449219,245.02,141.61,Bullish
TSLA,2021,2021-02-10,281.2133178710937,246.77,142.77,Bullish
TSLA,2021,2021-02-11,270.8133239746094,248.18,143.86,Bullish
TSLA,2021,2021-02-12,267.086669921875,249.53,144.93,Bullish
TSLA,2021,2021-02-16,272.6666564941406,251.28,146.01,Bullish
TSLA,2021,2021-02-17,259.6966552734375,252.54,147.05,Bullish
TSLA,2021,2021-02-18,260.29998779296875,253.80,148.12,Bullish
TSLA,2021,2021-02-19,265.0,255.07,149.18,Bullish
TSLA,2021,2021-02-22,254.2133331298828,255.98,150.20,Bullish
TSLA,2021,2021-02-23,220.7100067138672,256.04,151.04,Bullish
TSLA,2021,2021-02-24,237.2833404541016,256.96,151.96,Bullish
TSLA,2021,2021-02-25,242.0500030517578,257.70,152.91,Bullish
TSLA,2021,2021-02-26,233.3333282470703,258.24,153.80,Bullish
TSLA,2021,2021-03-01,230.0366668701172,258.55,154.68,Bullish
TSLA,2021,2021-03-02,239.4266662597656,259.15,155.61,Bullish
TSLA,2021,2021-03-03,229.3300018310547,259.55,156.50,Bullish
TSLA,2021,2021-03-04,218.6000061035156,259.46,157.31,Bullish
TSLA,2021,2021-03-05,208.6866607666016,259.19,158.09,Bullish
TSLA,2021,2021-03-08,200.18333435058597,258.88,158.81,Bullish
TSLA,2021,2021-03-09,202.72666931152344,258.72,159.56,Bullish
TSLA,2021,2021-03-10,233.43333435058597,259.10,160.45,Bullish
TSLA,2021,2021-03-11,233.13333129882807,259.27,161.34,Bullish
TSLA,2021,2021-03-12,223.3333282470703,259.33,162.18,Bullish
TSLA,2021,2021-03-15,231.3633270263672,259.47,163.06,Bullish
TSLA,2021,2021-03-16,234.4499969482422,259.50,163.97,Bullish
TSLA,2021,2021-03-17,218.9566650390625,259.08,164.78,Bullish
TSLA,2021,2021-03-18,228.0966644287109,258.82,165.62,Bullish
TSLA,2021,2021-03-19,215.5333404541016,258.07,166.40,Bullish
TSLA,2021,2021-03-22,228.19667053222656,257.45,167.24,Bullish
TSLA,2021,2021-03-23,225.2566680908203,256.25,168.08,Bullish
TSLA,2021,2021-03-24,222.6366729736328,255.04,168.88,Bullish
TSLA,2021,2021-03-25,204.3333282470703,253.58,169.59,Bullish
TSLA,2021,2021-03-26,213.9566650390625,252.18,170.33,Bullish
TSLA,2021,2021-03-29,205.2133331298828,250.66,171.03,Bullish
TSLA,2021,2021-03-30,200.5833282470703,248.99,171.70,Bullish
TSLA,2021,2021-03-31,215.5399932861328,247.72,172.48,Bullish
TSLA,2021,2021-04-01,229.4566650390625,246.58,173.29,Bullish
TSLA,2021,2021-04-05,235.90333557128903,245.60,174.14,Bullish
TSLA,2021,2021-04-06,230.1000061035156,244.64,174.95,Bullish
TSLA,2021,2021-04-07,229.0,243.52,175.76,Bullish
TSLA,2021,2021-04-08,225.7933349609375,242.09,176.56,Bullish
TSLA,2021,2021-04-09,225.92333984375,240.81,177.35,Bullish
TSLA,2021,2021-04-12,228.5666656494141,239.91,178.16,Bullish
TSLA,2021,2021-04-13,237.5666656494141,239.13,179.03,Bullish
TSLA,2021,2021-04-14,256.8999938964844,238.84,179.99,Bullish
TSLA,2021,2021-04-15,247.6999969482422,238.16,180.90,Bullish
TSLA,2021,2021-04-16,242.88333129882807,237.18,181.78,Bullish
TSLA,2021,2021-04-19,239.86666870117188,236.27,182.62,Bullish
TSLA,2021,2021-04-20,239.13999938964844,235.42,183.41,Bullish
TSLA,2021,2021-04-21,234.92333984375,234.32,184.16,Bullish
TSLA,2021,2021-04-22,247.1666717529297,233.57,184.92,Bullish
TSLA,2021,2021-04-23,239.93333435058597,232.74,185.66,Bullish
TSLA,2021,2021-04-26,247.0,232.26,186.42,Bullish
TSLA,2021,2021-04-27,239.32000732421875,231.71,187.16,Bullish
TSLA,2021,2021-04-28,232.1366729736328,230.90,187.76,Bullish
TSLA,2021,2021-04-29,233.1699981689453,230.37,188.41,Bullish
TSLA,2021,2021-04-30,222.52999877929688,229.61,189.01,Bullish
TSLA,2021,2021-05-03,234.6000061035156,229.00,189.69,Bullish
TSLA,2021,2021-05-04,226.31333923339844,228.45,190.32,Bullish
TSLA,2021,2021-05-05,227.0200042724609,228.57,190.95,Bullish
TSLA,2021,2021-05-06,226.9199981689453,228.36,191.53,Bullish
TSLA,2021,2021-05-07,221.93333435058597,227.96,192.11,Bullish
TSLA,2021,2021-05-10,221.63333129882807,227.73,192.66,Bullish
TSLA,2021,2021-05-11,199.7466735839844,227.12,193.19,Bullish
TSLA,2021,2021-05-12,200.8300018310547,226.35,193.71,Bullish
TSLA,2021,2021-05-13,200.51333618164065,225.77,194.21,Bullish
TSLA,2021,2021-05-14,194.47000122070312,225.29,194.68,Bullish
TSLA,2021,2021-05-17,191.8500061035156,224.95,195.15,Bullish
TSLA,2021,2021-05-18,189.3333282470703,224.74,195.59,Bullish
TSLA,2021,2021-05-19,184.18333435058597,224.37,196.03,Bullish
TSLA,2021,2021-05-20,191.6666717529297,223.53,196.49,Bullish
TSLA,2021,2021-05-21,198.70333862304688,222.84,196.98,Bullish
TSLA,2021,2021-05-24,193.86666870117188,222.25,197.46,Bullish
TSLA,2021,2021-05-25,202.4366607666016,221.68,197.97,Bullish
TSLA,2021,2021-05-26,202.5200042724609,221.04,198.50,Bullish
