ticker,year,avg_close_price,prev_year_price,yoy_growth_frac,yoy_growth_pct
T,2024,18.2037571388892655,14.7268480952727175,0.236093,23.61
TSLA,2017,20.9530810321944643,14.0038967965141175,0.496232,49.62
TSLA,2018,21.1455644174401030,20.9530810321944643,0.009186,0.92
TSLA,2019,18.2018756336636013,21.1455644174401030,-0.139211,-13.92
TSLA,2020,96.3694755343109244,18.2018756336636013,4.294480,429.45
TSLA,2021,259.9464286925300704,96.3694755343109244,1.697394,169.74
TSLA,2022,264.1352322035101780,259.9464286925300704,0.016114,1.61
TSLA,2023,217.0750403442382812,264.1352322035101780,-0.178167,-17.82
TSLA,2024,229.8109566737931080,217.0750403442382812,0.058671,5.87
VZ,2017,31.3095290213908816,31.8792370318424775,-0.017871,-1.79
VZ,2018,35.4949435145033722,31.3095290213908816,0.133679,13.37
VZ,2019,41.2728848209380444,35.4949435145033722,0.162782,16.28
