Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-06-13,22.22210693359375,22.628471164583814,22.167316935718596,22.53030480828024,152082000
2016-06-14,22.249500274658203,22.482360787211686,22.08741198229849,22.217539301051637,127727600
2016-06-15,22.176448822021484,22.466382782582944,22.151336376878596,22.3316886002945,117780800
2016-06-16,22.270048141479492,22.31570617865187,21.93217274447951,22.01892371180401,125307200
2016-06-17,21.76323699951172,22.064584588371037,21.756388467769415,22.05773605662873,244032800
2016-06-20,21.710731506347656,22.046323539247357,21.694751016292564,21.916196194015104,137647600
2016-06-21,21.89565086364746,21.99609891304557,21.614848830113893,21.674205683219235,142185600
2016-06-22,21.81346321105957,22.119375925721634,21.767803427103743,21.97326810054831,116876400
2016-06-23,21.939014434814453,21.982390775822246,21.744965224726958,21.90248836481468,128960800
2016-06-24,21.322633743286133,21.6102843174583,21.151413453712223,21.21077030845251,301245600
2016-06-27,21.01215171813965,21.242728835816965,20.888872914878785,21.231313454466964,181958400
2016-06-28,21.365999221801758,21.381981447395376,21.03497416698813,21.208477807191752,161779600
2016-06-29,21.550922393798828,21.585166792007673,21.37513529580657,21.452756047862778,146124000
2016-06-30,21.82487678527832,21.86368629521737,21.52809602829761,21.56005700609949,143345600
2016-07-01,21.891080856323242,22.023491608865225,21.763236952761357,21.79976303588937,104106000
2016-07-05,21.68562126159668,21.779222528386082,21.564625861497568,21.776939103362622,110820800
2016-07-06,21.808897018432617,21.83857631433318,21.54407723048606,21.59658380643784,123796400
2016-07-07,21.902502059936523,22.03034599748645,21.829448132516134,21.847710308063967,100558400
2016-07-08,22.07143211364746,22.119373575400004,21.927607728389834,22.028055758934098,115648400
2016-07-11,22.139925003051758,22.292881372397673,22.082851574930793,22.087416682813636,95179600
2016-07-12,22.24036979675293,22.304291748213068,22.17188273807816,22.183296376986014,96670000
2016-07-13,22.114805221557617,22.297439085933405,22.107954949390855,22.238083994425942,103568800
2016-07-14,22.553136825561523,22.59879487290032,22.21754477821851,22.233525268961372,155676000
2016-07-15,22.550851821899414,22.66956552345778,22.486929863403095,22.582812801147572,120548000
2016-07-18,22.790565490722656,22.85905257070747,22.50976341172997,22.532592438391575,145975600
2016-07-19,22.799692153930664,22.829369707523078,22.678695031416936,22.728919923452317,95119600
2016-07-20,22.820240020751953,22.934386880644716,22.77001512372028,22.82937197855252,105104000
2016-07-21,22.699235916137695,23.057656848971828,22.630747129790407,22.790553717353347,130808000
2016-07-22,22.52345085144043,22.66955863841221,22.44354668584525,22.660426684008698,113254800
2016-07-25,22.22210693359375,22.564547468363067,22.126224001876572,22.429855027390264,161531600
2016-07-26,22.06915855407715,22.365941154816287,22.01208511099218,22.103402968276782,224959200
2016-07-27,23.502838134765625,23.82244969597528,23.45718008676834,23.804185780079212,369379200
2016-07-28,23.820161819458008,23.84527426368628,23.473156190996754,23.47543961549275,159479200
2016-07-29,23.790489196777344,23.868109970039246,23.669493799560744,23.785924088582135,110934800
2016-08-01,24.21055030822754,24.233379332449942,23.836148737402805,23.836148737402805,152671600
2016-08-02,23.852128982543945,24.215115166642523,23.742547228966462,24.21055005854228,135266400
2016-08-03,24.15119171142578,24.16260535184302,23.91833115260654,23.927463109986,120810400
2016-08-04,24.300390243530273,24.330228572676305,24.164966362560143,24.23382620050135,109634800
2016-08-05,24.66992950439453,24.708949254234224,24.371539267692942,24.392196164251107,162213600
2016-08-08,24.874208450317383,24.874208450317383,24.596476894637274,24.679106222145144,112148800
2016-08-09,24.975196838378906,25.005036904650794,24.7915736089733,24.84207056619256,105260800
2016-08-10,24.789289474487305,24.995867237010383,24.734202654873958,24.952255889594838,96034000
2016-08-11,24.773216247558594,25.002746648536185,24.75485339519767,24.90863834356994,109938000
2016-08-12,24.83059310913086,24.890271489922423,24.738780619723283,24.738780619723283,74641600
2016-08-15,25.128986358642578,25.14275762083864,24.807643481704662,24.821414743900725,103472800
2016-08-16,25.106035232543945,25.301137479011352,25.067015483721676,25.163417834168943,135177600
2016-08-17,25.069311141967773,25.103741052991392,24.867323264590826,25.041766862913274,101424000
2016-08-18,25.037179946899414,25.156535001040336,25.02340693017599,25.071609861940637,87938800
2016-08-19,25.101444244384766,25.177189695340626,24.87191384840552,24.966020400144476,101472400
2016-08-22,24.906341552734375,25.041763633805925,24.754850664236244,24.98667683397833,103280800
2016-08-23,24.9843807220459,25.092260277420124,24.910931072817586,24.92470233480484,85030800
2016-08-24,24.796171188354492,24.96143337224892,24.715835890955297,24.920117826275312,94700400
2016-08-25,24.690584182739258,24.761738043840097,24.48630227407473,24.649268642156663,100344800
2016-08-26,24.545984268188477,24.77780873714092,24.401378979340926,24.653863848383264,111065200
2016-08-29,24.51844024658203,24.660749742352653,24.396789399942108,24.472534861457675,99881200
2016-08-30,24.330219268798828,24.44498445402901,24.215454083568645,24.284313895177856,99455600
2016-08-31,24.35317039489746,24.461049942288643,24.24758664139353,24.252178229168017,118649600
2016-09-01,24.49777603149414,24.513843086606485,24.242997192442903,24.362352208823516,106806000
2016-09-02,24.727310180664062,24.78928261668749,24.5184366810136,24.720422797836626,107210000
2016-09-06,24.720422744750977,24.858142382156956,24.67681316067182,24.76632987427895,107521600
2016-09-07,24.871915817260742,24.96372833315589,24.57582137286739,24.750264977950362,169457200
2016-09-08,24.220048904418945,24.621727135381228,24.155780667653477,24.617137297545746,212008000
2016-09-09,23.671466827392578,24.26595140634348,23.671466827392578,24.018058182274892,186228000
2016-09-12,24.201677322387695,24.265945531324537,23.5337432555569,23.56128752417727,181171200
2016-09-13,24.777807235717773,24.970613692105253,24.614840853597038,24.67681504539868,248704800
2016-09-14,25.65460968017578,25.943818447931307,24.926998799315932,24.956838869327946,443554800
2016-09-15,26.526819229125977,26.56354492119123,26.04939573934198,26.134322588859842,359934400
2016-09-16,26.377634048461914,26.655365631804546,26.175647919988556,26.42354118073634,319547600
2016-09-19,26.0700626373291,26.66684131301639,25.994317186833108,26.43960671270635,188092000
2016-09-20,26.067766189575195,26.194008603903818,25.824464537790462,25.948411157900956,138057200
2016-09-21,26.06317710876465,26.164169291980812,25.808398229672562,26.132035176705948,144012800
2016-09-22,26.308778762817383,26.38222843105647,26.166469264463682,26.246804565478584,124296000
2016-09-23,25.870372772216797,26.347796453996345,25.60411840237926,26.262869570325204,209924800
2016-09-26,25.909395217895508,26.026456231636505,25.604121066169935,25.62477796502985,119477600
2016-09-27,25.957592010498047,25.978250657042995,25.785444211061336,25.936935115131067,98429600
2016-09-28,26.154987335205078,26.313363865258328,26.03563230248903,26.09531069443601,118564400
2016-09-29,25.748714447021484,26.120554240314895,25.6614935454143,25.97365495804091,143548000
2016-09-30,25.948415756225586,26.021865423620664,25.661502719341968,25.812991892203854,145516400
2016-10-03,25.826759338378906,25.94841191901747,25.771672533773295,25.87037067391307,86807200
2016-10-04,25.93692970275879,26.237613902652875,25.852002842334667,25.950700963463063,118947200
2016-10-05,25.948415756225586,26.088429458319048,25.865784661508847,26.028751056317358,85812400
2016-10-06,26.14121437072754,26.244502339409724,25.96677079471662,26.097603038930362,115117200
2016-10-07,26.18023681640625,26.295002016199266,26.053996147340715,26.23761941630276,97433600
2016-10-10,26.637004852294922,26.797675439253915,26.331728985894777,26.40058705837232,144944000
2016-10-11,26.69439125061035,27.24296886988696,26.671436805342566,27.015732470219678,256164000
2016-10-12,26.93309783935547,27.07999891486021,26.79767573615792,26.935393633816908,150347200
2016-10-13,26.8504695892334,26.956053373421042,26.56126076661098,26.806858248590057,140769600
2016-10-14,26.999658584594727,27.12360520276217,26.88489339197797,27.05704118090311,142608800
2016-10-17,26.98130226135254,27.047864543817706,26.80456285277376,26.93080528747289,94499600
2016-10-18,26.962936401367188,27.132788407246363,26.95834481270187,27.125902775426365,98214000
2016-10-19,26.882596969604492,27.02949626305771,26.120556228124286,26.91243528661984,80138400
2016-10-20,26.86882972717285,26.942279389673278,26.701273505458488,26.82292434480187,96503200
2016-10-21,26.763248443603516,26.83440406944838,26.689798774250743,26.81144962494331,92770800
2016-10-24,27.004255294799805,27.024912192823397,26.855060165864916,26.878012858506082,94154800
2016-10-25,27.1419677734375,27.167216255646554,26.92620865317026,27.073107958107745,192516000
2016-10-26,26.531415939331055,26.556664421373448,26.008086950048412,26.237617331395384,264536800
2016-10-27,26.276643753051758,26.593395108266122,26.189421071034957,26.485515528621026,138248000
2016-10-28,26.102197647094727,26.444197456419218,26.040223457772857,26.136627557698212,151446800
2016-10-31,26.060880661010742,26.219257190306994,25.982839417887263,26.086129143976173,105677600
